site_id,x_coord,y_coord
2617,630804.0,4833731.0
2556,630304.0,4834231.0
2619,630804.0,4834731.0
2056,626304.0,4832231.0
2369,628804.0,4833731.0
2492,629804.0,4833231.0
2618,630804.0,4834231.0
3072,634304.0,4844231.0
3825,640304.0,4848731.0
2616,630804.0,4833231.0
2555,630304.0,4833731.0
2558,630304.0,4835231.0
1890,624804.0,4842231.0
2680,631304.0,4834231.0
2213,627304.0,4848731.0
2431,629304.0,4833731.0
2271,627804.0,4846731.0
2309,628304.0,4834731.0
2956,633304.0,4848231.0
2493,629804.0,4833731.0
2494,629804.0,4834231.0
3063,634304.0,4839731.0
3574,638304.0,4847231.0
2679,631304.0,4833731.0
2495,629804.0,4834731.0
2743,631804.0,4834731.0
2561,630304.0,4836731.0
2554,630304.0,4833231.0
2383,628804.0,4840731.0
1693,623304.0,4836731.0
2681,631304.0,4834731.0
1215,619304.0,4845731.0
4073,642304.0,4848731.0
3321,636304.0,4844731.0
2499,629804.0,4836731.0
2432,629304.0,4834231.0
3503,637804.0,4842731.0
1581,622304.0,4842731.0
3575,638304.0,4847731.0
2430,629304.0,4833231.0
3014,633804.0,4846231.0
4388,644804.0,4851231.0
2429,629304.0,4832731.0
1558,622304.0,4831231.0
2433,629304.0,4834731.0
3262,635804.0,4846231.0
2557,630304.0,4834731.0
3633,638804.0,4845731.0
2620,630804.0,4835231.0
2520,629804.0,4847231.0
3757,639804.0,4845731.0
3886,640804.0,4848231.0
2994,633804.0,4836231.0
2559,630304.0,4835731.0
1714,623304.0,4847231.0
3068,634304.0,4842231.0
3379,636804.0,4842731.0
3516,637804.0,4849231.0
1331,620304.0,4841731.0
2438,629304.0,4837231.0
3521,637804.0,4851731.0
4505,645804.0,4847731.0
2191,627304.0,4837731.0
4015,641804.0,4850731.0
1639,622804.0,4840731.0
2496,629804.0,4835231.0
3691,639304.0,4843731.0
4131,642804.0,4846731.0
2621,630804.0,4835731.0
2810,632304.0,4837231.0
3142,634804.0,4848231.0
2311,628304.0,4835731.0
3006,633804.0,4842231.0
2133,626804.0,4839731.0
3386,636804.0,4846231.0
2498,629804.0,4836231.0
3504,637804.0,4843231.0
2075,626304.0,4841731.0
3209,635304.0,4850731.0
2560,630304.0,4836231.0
3387,636804.0,4846731.0
3131,634804.0,4842731.0
2623,630804.0,4836731.0
2305,628304.0,4832731.0
966,617304.0,4845231.0
2387,628804.0,4842731.0
2216,627304.0,4850231.0
2632,630804.0,4841231.0
2836,632304.0,4850231.0
1122,618804.0,4830231.0
3446,637304.0,4845231.0
3329,636304.0,4848731.0
2009,625804.0,4839731.0
2368,628804.0,4833231.0
2769,631804.0,4847731.0
709,615304.0,4840731.0
1753,623804.0,4835731.0
2060,626304.0,4834231.0
2436,629304.0,4836231.0
1875,624804.0,4834731.0
2372,628804.0,4835231.0
2894,632804.0,4848231.0
3944,641304.0,4846231.0
2120,626804.0,4833231.0
4074,642304.0,4849231.0
3496,637804.0,4839231.0
1274,619804.0,4844231.0
2682,631304.0,4835231.0
2002,625804.0,4836231.0
3708,639304.0,4852231.0
2183,627304.0,4833731.0
4068,642304.0,4846231.0
592,614304.0,4844231.0
3828,640304.0,4850231.0
2062,626304.0,4835231.0
2440,629304.0,4838231.0
3940,641304.0,4844231.0
2374,628804.0,4836231.0
2622,630804.0,4836231.0
2742,631804.0,4834231.0
2119,626804.0,4832731.0
3576,638304.0,4848231.0
2079,626304.0,4843731.0
2756,631804.0,4841231.0
2378,628804.0,4838231.0
1942,625304.0,4837231.0
3396,636804.0,4851231.0
2930,633304.0,4835231.0
2765,631804.0,4845731.0
2251,627804.0,4836731.0
1963,625304.0,4847731.0
1830,624304.0,4843231.0
811,616304.0,4829731.0
2685,631304.0,4836731.0
2744,631804.0,4835231.0
1633,622804.0,4837731.0
1029,617804.0,4845731.0
715,615304.0,4843731.0
1248,619804.0,4831231.0
2071,626304.0,4839731.0
3570,638304.0,4845231.0
954,617304.0,4839231.0
