site_id,x_coord,y_coord
2618,630804.0,4834231.0
3072,634304.0,4844231.0
2616,630804.0,4833231.0
2558,630304.0,4835231.0
2493,629804.0,4833731.0
2743,631804.0,4834731.0
1693,623304.0,4836731.0
1215,619304.0,4845731.0
1581,622304.0,4842731.0
3014,633804.0,4846231.0
4388,644804.0,4851231.0
2429,629304.0,4832731.0
1558,622304.0,4831231.0
2433,629304.0,4834731.0
3262,635804.0,4846231.0
2520,629804.0,4847231.0
3757,639804.0,4845731.0
2994,633804.0,4836231.0
3516,637804.0,4849231.0
2438,629304.0,4837231.0
4505,645804.0,4847731.0
1639,622804.0,4840731.0
4131,642804.0,4846731.0
2810,632304.0,4837231.0
3006,633804.0,4842231.0
2498,629804.0,4836231.0
3504,637804.0,4843231.0
2075,626304.0,4841731.0
3387,636804.0,4846731.0
3131,634804.0,4842731.0
2623,630804.0,4836731.0
2836,632304.0,4850231.0
3329,636304.0,4848731.0
2368,628804.0,4833231.0
1753,623804.0,4835731.0
4074,642304.0,4849231.0
3496,637804.0,4839231.0
2183,627304.0,4833731.0
3828,640304.0,4850231.0
3940,641304.0,4844231.0
3576,638304.0,4848231.0
2756,631804.0,4841231.0
2378,628804.0,4838231.0
1963,625304.0,4847731.0
811,616304.0,4829731.0
1633,622804.0,4837731.0
1248,619804.0,4831231.0
2071,626304.0,4839731.0
3570,638304.0,4845231.0
1452,621304.0,4840231.0
3703,639304.0,4849731.0
1828,624304.0,4842231.0
1998,625804.0,4834231.0
3066,634304.0,4841231.0
1813,624304.0,4834731.0
4014,641804.0,4850231.0
1523,621804.0,4844731.0
2021,625804.0,4845731.0
2741,631804.0,4833731.0
2947,633304.0,4843731.0
1123,618804.0,4830731.0
1635,622804.0,4838731.0
1892,624804.0,4843231.0
3371,636804.0,4838731.0
2578,630304.0,4845231.0
2308,628304.0,4834231.0
763,615804.0,4836731.0
2869,632804.0,4835731.0
1772,623804.0,4845231.0
1884,624804.0,4839231.0
3815,640304.0,4843731.0
3699,639304.0,4847731.0
1021,617804.0,4841731.0
2997,633804.0,4837731.0
3242,635804.0,4836231.0
3084,634304.0,4850231.0
1747,623804.0,4832731.0
2707,631304.0,4847731.0
2711,631304.0,4849731.0
3117,634804.0,4835731.0
1315,620304.0,4833731.0
2683,631304.0,4835731.0
4946,649304.0,4851231.0
2118,626804.0,4832231.0
3184,635304.0,4838231.0
2868,632804.0,4835231.0
2058,626304.0,4833231.0
1933,625304.0,4832731.0
344,612304.0,4844231.0
2003,625804.0,4836731.0
3203,635304.0,4847731.0
530,613804.0,4844231.0
4447,645304.0,4849731.0
4189,643304.0,4844731.0
3139,634804.0,4846731.0
2373,628804.0,4835731.0
1330,620304.0,4841231.0
1652,622804.0,4847231.0
2326,628304.0,4843231.0
1446,621304.0,4837231.0
1626,622804.0,4834231.0
2827,632304.0,4845731.0
3080,634304.0,4848231.0
