scenario,K,RADIUS,coverage_cells_percent,coverage_risk_percent
K150_R500,150,500,13.81404174573055,68.07002401226478
K250_R500,250,500,22.903225806451612,85.08774988059056
K150_R250,150,250,2.846299810246679,34.486892776606894
K250_R250,250,250,4.743833017077799,46.52684552978655
