lon,lat,status_clean,ward_num,location,fid
-79.33873473,43.7628844,active,16,Fenelon Dr. Near Karen Rd.,87
-79.327135,43.761901,active,16,Lynedock Cres. East of Fenside Dr.,88
-79.324732,43.760112,active,16,Brookbanks Dr. West of Parkwoods Village Dr.,89
-79.35048,43.7744034,active,17,Sheppard Ave E. West of Don Mills Rd.,90
-79.332838,43.788478,active,17,Van Horne Ave. East of Bickerton Cres.,91
-79.355686,43.806179,active,17,Don Mills Rd. Near Memory Gardens Lane,92
-79.34995273,43.800401,active,17,McNicoll Ave. Near Sexton Cres.,93
-79.33523,43.778301,active,17,Old Sheppard Ave. West of Brian Dr.,94
-79.353464,43.788777,active,17,Don Mills Rd. South of Seneca Hill Dr.,95
-79.427782,43.770999,active,18,Senlac Rd. South of Horsham Ave.,96
-79.3900567,43.7687755,active,18,Spring Garden Ave. West of Bayview Ave.,97
-79.40054931,43.788094,active,18,Maxome Ave. South of Gustav Cres.,98
-79.421576,43.78629,active,18,Drewry Ave. Near Fairchild Ave.,99
-79.417155,43.779547,active,18,Finch Ave. W. East of Duplex Ave.,100
-79.40975664,43.7672568,active,18,Doris Ave. Near Elmwood Ave.,101
-79.42718459,43.7929723,active,18,Hilda Ave. Near Crossen Dr.,102
-79.417966,43.77762,active,18,Beecroft Rd. Near Lorraine Dr.,103
-79.308102,43.663866,active,19,Lake Shore Blvd E. East of Winners Circle,104
-79.316698,43.704961,active,19,St. Clair Ave. E. West of Marilyn Cres.,105
-79.317276,43.687331,active,19,Glebeholme Blvd. West of Woodmount Ave.,106
-79.299257,43.681719,active,19,Main St. South of Swanwick Ave. ,107
-79.248856,43.712998,active,20,Midland Ave. South of Aylesworth Ave.,108
-79.27679059,43.7019598,active,20,Warden Ave. South of Cataraqui Cres.,109
-79.25109868,43.7049614,active,20,East Haven Dr. Near Leatherwood Gardens,110
-79.25138594,43.7301303,active,20,Danforth Rd. East of Winter Ave.,111
-79.298289,43.717881,active,20,Edge Park Ave. East of Victoria Park Ave.,112
-79.286143,43.76463,active,21,Ellesmere Rd. Near Gladeside Rd. ,113
-79.25235178,43.7654879,active,21,Brimorton Rd. Near Camlac Place,114
-79.30630268,43.7473928,active,21,Pharmacy Ave. Near Galsworthy Ave.,115
-79.303458,43.7403688,active,21,Pharmacy Ave. Near Sherwood Ave.,116
-79.25939164,43.7375813,active,21,Midland Ave. North of Gilder Dr.,117
-79.281273,43.748379,active,21,Lawrence Ave E. Near Canlish Rd.,118
-79.25588,43.755563,active,21,Brimley Rd. North of Lawrence Ave E.,119
-79.301517,43.788339,active,22,Birchmount Rd. South of Huntingwood Dr.,120
-79.28545764,43.8018115,active,22,Midland Ave. South of Finch Ave. E.,121
-79.32102805,43.7836566,active,22,Pharmacy Ave. North of Huntingwood Dr.,122
-79.28075205,43.7906555,active,22,Midland Ave. Near Montgomery Ave.,123
-79.329267,43.8008,active,22,Pharmacy Ave. Near 3200 Pharmacy Ave.,124
-79.28917,43.78466,active,22,Kennedy Rd. South of Cardwell Ave.,125
-79.264725,43.803452,active,23,McCowan Rd. South of Sandhurst Circle.,126
-79.24033308,43.7968054,active,23,Markham Rd. North of Verne Cres.,127
-79.24770405,43.7898406,active,23,Havenview Rd. Near Kentish Cres.,128
-79.232331,43.8093188,active,23,Crow Trail Near Horseley Hill Dr.,129
-79.277162,43.798185,active,23,Huntingwood Dr. West of Mollard Rd.,130
-79.229601,43.815802,active,23,Finch Ave E. West of Neilson Rd.,131
-79.27814,43.811645,active,23,Brimwood Blvd. East of Brimley Rd.,132
-79.243377,43.798256,active,23,Nugget Ave. East of Transfer Place,133
-79.239924,43.769074,active,24,Bellamy Rd. N. Near Northleigh Dr.,134
-79.213654,43.775388,active,24,Slan Ave. Near Spraywood Gate,135
-79.19579402,43.7645646,active,24,Galloway Rd. South of Lawrence Ave. E.,136
-79.212472,43.786307,active,24,Military Trail Near 341 Military Trail,137
-79.22447059,43.7781088,active,24,Ellesmere Rd. West of Scarborough Golf Club Rd.,138
