cell_id,x_coord,y_coord,collision_count,camera_count,mean_dist_to_camera,mean_precip,mean_snow,downtown,lambda
0,609804.0,4827231.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
1,609804.0,4827731.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
2,609804.0,4828231.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
3,609804.0,4828731.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
4,609804.0,4829231.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
5,609804.0,4829731.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
6,609804.0,4830231.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
7,609804.0,4830731.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
8,609804.0,4831231.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
9,609804.0,4831731.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
10,609804.0,4832231.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
11,609804.0,4832731.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
12,609804.0,4833231.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
13,609804.0,4833731.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
14,609804.0,4834231.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
15,609804.0,4834731.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
16,609804.0,4835231.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
17,609804.0,4835731.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
18,609804.0,4836231.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
19,609804.0,4836731.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
20,609804.0,4837231.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
21,609804.0,4837731.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
22,609804.0,4838231.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
23,609804.0,4838731.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
24,609804.0,4839231.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
25,609804.0,4839731.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
26,609804.0,4840231.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
27,609804.0,4840731.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
28,609804.0,4841231.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
29,609804.0,4841731.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
30,609804.0,4842231.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
31,609804.0,4842731.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
32,609804.0,4843231.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
33,609804.0,4843731.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
34,609804.0,4844231.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
35,609804.0,4844731.0,43,0,2599.565945352124,1.8651162790697675,0.6372093023255814,0,534.583391149536
36,609804.0,4845231.0,158,0,2851.7789267130906,2.2177215189873416,0.3531645569620253,0,2038.3913928089098
37,609804.0,4845731.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
38,609804.0,4846231.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
39,609804.0,4846731.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
40,609804.0,4847231.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
41,609804.0,4847731.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
42,609804.0,4848231.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
43,609804.0,4848731.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
44,609804.0,4849231.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
45,609804.0,4849731.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
46,609804.0,4850231.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
47,609804.0,4850731.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
48,609804.0,4851231.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
49,609804.0,4851731.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
50,609804.0,4852231.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
51,609804.0,4852731.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
52,609804.0,4853231.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
53,609804.0,4853731.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
54,609804.0,4854231.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
55,609804.0,4854731.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
56,609804.0,4855231.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
57,609804.0,4855731.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
58,609804.0,4856231.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
59,609804.0,4856731.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
60,609804.0,4857231.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
61,609804.0,4857731.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
62,610304.0,4827231.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
63,610304.0,4827731.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
64,610304.0,4828231.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
65,610304.0,4828731.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
66,610304.0,4829231.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
67,610304.0,4829731.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
68,610304.0,4830231.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
69,610304.0,4830731.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
70,610304.0,4831231.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
71,610304.0,4831731.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
72,610304.0,4832231.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
73,610304.0,4832731.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
74,610304.0,4833231.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
75,610304.0,4833731.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
76,610304.0,4834231.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
77,610304.0,4834731.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
78,610304.0,4835231.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
79,610304.0,4835731.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
80,610304.0,4836231.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
81,610304.0,4836731.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
82,610304.0,4837231.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
83,610304.0,4837731.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
84,610304.0,4838231.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
85,610304.0,4838731.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
